name,twitter
Munchie Mobile,MunchieMobileNY
Andy’s Italian Ices,AndysItalianIce
Big D’s Grub,bigdsgrub
Wafels N Dinges,waffletruck
Bian Dang,biandangnyc
Blend Express,Blend_Express
Chinese Mirch,ChineseMirch
Uncle Gussys,UncleGussys
The Treats Truck,TheTreatsTruck
Taim Mobile,TaimMobile
Taco Bite,tacobite
Sweetery NYC,SweeteryNYC
Steaks N' Crepes,steaksNcrepes
Kimchi Taco,KimchiTruck
Souvlaki GR,souvlakitruck
Seoul Food,seoulfoodnyc
Schnitzel & Things,schnitz_things
Rickshaw,rickshawbar
Phil’s Steaks,PhilsSteaks
Palenque,Palenquefood
Nuchas,NuchasNYC
Domo Tacos,DomoTaco
Eddies Pizza,EddiesPizzaNY
Fishing Shrimp,FishingShrimp
Frites & Meats,fritesnmeats
Fun Buns,funbunsnyc
Hibachi Heaven,hibachiheaven
Korilla,KorillaBBQ
Mexico Blvd,MexicoBlvd
Mexicue,Mexicue
Mike N' Willies,mikenwillies
Milk Truck,milktrucknyc
Morris Grilled,morristruck
Luke's Lobster,NautiMobile